N,rep,winner,convergence_time,imposter_win
4,0,crewmates,2,0
4,1,imposters,3,1
4,2,crewmates,3,0
4,3,imposters,3,1
4,4,imposters,3,1
4,5,crewmates,3,0
4,6,crewmates,1,0
4,7,crewmates,1,0
4,8,imposters,3,1
4,9,imposters,3,1
4,10,imposters,3,1
4,11,crewmates,2,0
4,12,imposters,3,1
4,13,crewmates,2,0
4,14,imposters,3,1
6,0,crewmates,2,0
6,1,imposters,5,1
6,2,crewmates,5,0
6,3,imposters,5,1
6,4,crewmates,3,0
6,5,crewmates,1,0
6,6,crewmates,3,0
6,7,crewmates,3,0
6,8,crewmates,2,0
6,9,crewmates,2,0
6,10,imposters,5,1
6,11,imposters,5,1
6,12,crewmates,5,0
6,13,crewmates,5,0
6,14,crewmates,3,0
8,0,crewmates,3,0
8,1,crewmates,7,0
8,2,crewmates,6,0
8,3,imposters,7,1
8,4,crewmates,6,0
8,5,crewmates,6,0
8,6,imposters,7,1
8,7,imposters,7,1
8,8,crewmates,5,0
8,9,crewmates,7,0
8,10,crewmates,1,0
8,11,crewmates,6,0
8,12,crewmates,2,0
8,13,crewmates,5,0
8,14,crewmates,6,0
10,0,crewmates,8,0
10,1,crewmates,8,0
10,2,crewmates,2,0
10,3,imposters,9,1
10,4,crewmates,5,0
10,5,crewmates,4,0
10,6,crewmates,8,0
10,7,crewmates,6,0
10,8,crewmates,9,0
10,9,crewmates,3,0
10,10,crewmates,7,0
10,11,crewmates,7,0
10,12,crewmates,2,0
10,13,crewmates,8,0
10,14,crewmates,7,0
12,0,crewmates,9,0
12,1,crewmates,6,0
12,2,crewmates,5,0
12,3,crewmates,10,0
12,4,crewmates,8,0
12,5,crewmates,7,0
12,6,crewmates,5,0
12,7,draw,10,0
12,8,crewmates,9,0
12,9,crewmates,8,0
12,10,crewmates,8,0
12,11,crewmates,4,0
12,12,crewmates,3,0
12,13,draw,10,0
12,14,crewmates,5,0
