memory_length,rep,winner,convergence_time,imposter_win
-1,0,imposters,7,1
-1,1,crewmates,5,0
-1,2,crewmates,6,0
-1,3,crewmates,3,0
-1,4,imposters,7,1
-1,5,imposters,7,1
-1,6,crewmates,6,0
-1,7,crewmates,4,0
-1,8,imposters,7,1
-1,9,crewmates,6,0
-1,10,crewmates,4,0
-1,11,imposters,7,1
-1,12,crewmates,4,0
-1,13,imposters,7,1
-1,14,crewmates,3,0
5,0,crewmates,7,0
5,1,crewmates,6,0
5,2,crewmates,1,0
5,3,imposters,7,1
5,4,crewmates,6,0
5,5,imposters,7,1
5,6,crewmates,4,0
5,7,crewmates,4,0
5,8,crewmates,2,0
5,9,crewmates,4,0
5,10,crewmates,7,0
5,11,crewmates,6,0
5,12,crewmates,7,0
5,13,crewmates,3,0
5,14,crewmates,6,0
10,0,crewmates,3,0
10,1,crewmates,5,0
10,2,imposters,7,1
10,3,imposters,7,1
10,4,crewmates,2,0
10,5,crewmates,6,0
10,6,crewmates,4,0
10,7,crewmates,6,0
10,8,crewmates,4,0
10,9,crewmates,5,0
10,10,crewmates,5,0
10,11,crewmates,6,0
10,12,crewmates,5,0
10,13,crewmates,2,0
10,14,crewmates,3,0
20,0,imposters,7,1
20,1,crewmates,5,0
20,2,crewmates,2,0
20,3,crewmates,4,0
20,4,crewmates,3,0
20,5,crewmates,3,0
20,6,crewmates,4,0
20,7,crewmates,5,0
20,8,crewmates,7,0
20,9,crewmates,7,0
20,10,crewmates,4,0
20,11,crewmates,6,0
20,12,crewmates,3,0
20,13,crewmates,3,0
20,14,crewmates,7,0
