imposter_pos,rep,winner,convergence_time,imposter_win
0,0,imposters,7,1
0,1,crewmates,6,0
0,2,crewmates,7,0
0,3,crewmates,6,0
0,4,imposters,7,1
0,5,imposters,7,1
0,6,crewmates,7,0
0,7,imposters,7,1
0,8,crewmates,4,0
0,9,crewmates,5,0
0,10,crewmates,6,0
0,11,crewmates,3,0
0,12,crewmates,6,0
0,13,crewmates,4,0
0,14,crewmates,7,0
1,0,crewmates,7,0
1,1,imposters,7,1
1,2,crewmates,4,0
1,3,crewmates,7,0
1,4,crewmates,7,0
1,5,crewmates,6,0
1,6,crewmates,6,0
1,7,crewmates,3,0
1,8,crewmates,3,0
1,9,crewmates,4,0
1,10,crewmates,5,0
1,11,crewmates,1,0
1,12,crewmates,3,0
1,13,crewmates,2,0
1,14,crewmates,5,0
2,0,crewmates,3,0
2,1,crewmates,1,0
2,2,crewmates,1,0
2,3,imposters,7,1
2,4,imposters,7,1
2,5,crewmates,2,0
2,6,crewmates,1,0
2,7,crewmates,4,0
2,8,crewmates,5,0
2,9,crewmates,4,0
2,10,crewmates,4,0
2,11,crewmates,1,0
2,12,crewmates,5,0
2,13,imposters,7,1
2,14,crewmates,4,0
3,0,crewmates,5,0
3,1,crewmates,7,0
3,2,crewmates,6,0
3,3,crewmates,3,0
3,4,crewmates,5,0
3,5,crewmates,5,0
3,6,crewmates,2,0
3,7,crewmates,4,0
3,8,crewmates,4,0
3,9,crewmates,2,0
3,10,crewmates,4,0
3,11,imposters,7,1
3,12,crewmates,5,0
3,13,crewmates,5,0
3,14,crewmates,6,0
4,0,crewmates,5,0
4,1,crewmates,4,0
4,2,crewmates,2,0
4,3,crewmates,5,0
4,4,crewmates,7,0
4,5,crewmates,4,0
4,6,crewmates,4,0
4,7,crewmates,5,0
4,8,crewmates,4,0
4,9,crewmates,2,0
4,10,crewmates,6,0
4,11,crewmates,3,0
4,12,crewmates,4,0
4,13,crewmates,7,0
4,14,imposters,7,1
5,0,crewmates,3,0
5,1,crewmates,4,0
5,2,crewmates,7,0
5,3,crewmates,6,0
5,4,crewmates,5,0
5,5,crewmates,6,0
5,6,crewmates,4,0
5,7,crewmates,7,0
5,8,crewmates,2,0
5,9,imposters,7,1
5,10,crewmates,7,0
5,11,crewmates,2,0
5,12,imposters,7,1
5,13,crewmates,5,0
5,14,crewmates,7,0
6,0,crewmates,2,0
6,1,crewmates,2,0
6,2,crewmates,5,0
6,3,crewmates,5,0
6,4,crewmates,6,0
6,5,crewmates,7,0
6,6,crewmates,5,0
6,7,crewmates,4,0
6,8,crewmates,6,0
6,9,crewmates,2,0
6,10,imposters,7,1
6,11,imposters,7,1
6,12,imposters,7,1
6,13,crewmates,7,0
6,14,crewmates,7,0
7,0,imposters,7,1
7,1,crewmates,3,0
7,2,crewmates,2,0
7,3,crewmates,6,0
7,4,crewmates,6,0
7,5,imposters,7,1
7,6,crewmates,4,0
7,7,crewmates,7,0
7,8,crewmates,2,0
7,9,crewmates,6,0
7,10,imposters,7,1
7,11,crewmates,5,0
7,12,crewmates,7,0
7,13,crewmates,7,0
7,14,imposters,7,1
