rounds_before_vote,rep,winner,convergence_time,imposter_win
1,0,crewmates,7,0
1,1,crewmates,4,0
1,2,crewmates,7,0
1,3,crewmates,4,0
1,4,imposters,7,1
1,5,imposters,7,1
1,6,crewmates,3,0
1,7,crewmates,6,0
1,8,crewmates,1,0
1,9,crewmates,7,0
1,10,crewmates,7,0
1,11,crewmates,1,0
1,12,crewmates,6,0
1,13,crewmates,6,0
1,14,crewmates,6,0
2,0,crewmates,10,0
2,1,crewmates,2,0
2,2,crewmates,2,0
2,3,crewmates,12,0
2,4,crewmates,10,0
2,5,crewmates,12,0
2,6,crewmates,6,0
2,7,crewmates,10,0
2,8,crewmates,4,0
2,9,crewmates,10,0
2,10,crewmates,10,0
2,11,crewmates,12,0
2,12,crewmates,10,0
2,13,crewmates,2,0
2,14,crewmates,10,0
3,0,crewmates,3,0
3,1,crewmates,12,0
3,2,crewmates,6,0
3,3,crewmates,6,0
3,4,draw,12,0
3,5,draw,12,0
3,6,draw,12,0
3,7,draw,12,0
3,8,draw,12,0
3,9,draw,12,0
3,10,draw,12,0
3,11,draw,12,0
3,12,draw,12,0
3,13,draw,12,0
3,14,draw,12,0
